"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b1","b3","b4","b5","b6.1"
"9031",43392,"64",3,1,53,1,1,3,1,2,1,8,12,9,22318,6500,1,2,8600,960,6500,3800,1,2,2,2,2
"9032",43392,"64",3,1,19,2,1,1,2,NA,1,9,13,9,22318,6500,1,2,8600,960,6500,3800,2,NA,NA,NA,NA
"9033",43398,"64",2,1,53,1,1,1,4,2,3,4,5,17,18563,6500,1,2,8600,960,6500,3800,6,1,1,2,2
"9034",43398,"64",2,2,50,1,1,1,4,2,4,2,1,17,18563,6500,1,2,8600,960,6500,3800,6,1,1,2,2
"9035",43404,"64",3,1,18,2,1,1,4,1,3,5,9,11,6287,6500,1,2,8600,960,6500,3800,8,2,2,2,1
"9036",43404,"64",3,1,46,1,1,1,4,2,3,5,9,11,6287,6500,1,2,8600,960,6500,3800,1,1,2,2,2
"9037",43404,"64",3,2,46,1,1,1,4,2,3,4,6,11,6287,6500,1,2,8600,960,6500,3800,1,1,2,2,2
"9038",43410,"64",4,2,28,1,1,1,4,2,3,5,9,16,22682.25,6500,1,2,8600,960,6500,3800,1,1,1,NA,2
"9039",43410,"64",4,1,55,4,1,1,4,1,4,5,8,16,22682.25,6500,1,2,8600,960,6500,3800,1,NA,NA,NA,1
"9040",43410,"64",4,1,29,1,1,1,4,1,3,5,9,16,22682.25,6500,1,2,8600,960,6500,3800,1,1,1,NA,1
"9041",43416,"64",4,2,36,1,1,1,4,2,3,5,9,14,12910.75,6500,1,2,8600,960,6500,3800,6,1,2,2,2
"9042",43416,"64",4,1,34,1,1,1,4,2,3,5,9,14,12910.75,6500,1,2,8600,960,6500,3800,6,1,2,1,2
"9043",43422,"64",6,1,54,NA,1,1,4,2,4,5,9,24,17590.3333333333,6500,1,2,8600,960,6500,3800,9,1,2,2,2
"9044",43422,"64",6,2,49,NA,1,1,4,2,4,1,NA,24,17590.3333333333,6500,1,2,8600,960,6500,3800,6,1,2,2,2
"9045",43422,"64",6,1,29,NA,1,1,4,2,2,5,9,24,17590.3333333333,6500,1,2,8600,960,6500,3800,1,1,2,1,2
"9046",43422,"64",6,2,25,NA,1,1,4,2,2,5,9,24,17590.3333333333,6500,1,2,8600,960,6500,3800,1,2,1,2,2
"9047",43428,"64",5,2,38,1,1,1,4,2,4,5,9,12,4175.4,6500,1,2,8600,960,6500,3800,1,1,2,1,2
"9048",43428,"64",5,1,41,1,1,1,4,2,4,6,12,12,4175.4,6500,1,2,8600,960,6500,3800,1,1,2,1,2
"9049",43434,"64",2,1,22,1,0,1,4,1,2,5,9,NA,13457.5,7300,1,1,4200,463,7300,3800,1,2,2,2,1
"9050",43434,"64",2,2,19,1,0,1,4,2,2,5,9,NA,13457.5,7300,1,1,4200,463,7300,3800,6,2,2,2,2
"9051",43440,"64",4,1,17,2,1,1,4,NA,3,7,11,13,14471,7300,1,1,4200,463,7300,3800,2,NA,NA,NA,NA
"9052",43440,"64",4,2,35,1,1,1,4,2,3,5,9,13,14471,7300,1,1,4200,463,7300,3800,6,1,1,NA,2
"9053",43440,"64",4,1,37,1,1,1,4,1,3,5,9,13,14471,7300,1,1,4200,463,7300,3800,8,1,NA,NA,1
"9054",43446,"64",4,1,53,1,1,1,4,2,4,6,12,15,20062.5,7400,1,2,3400,496,7400,3600,6,1,1,2,2
"9055",43446,"64",4,2,53,1,1,1,4,2,4,1,NA,15,20062.5,7400,1,2,3400,496,7400,3600,6,1,2,2,2
"9056",43446,"64",4,1,29,3,1,1,4,1,3,5,9,15,20062.5,7400,1,2,3400,496,7400,3600,1,2,2,2,1
"9057",43452,"64",2,2,53,1,1,1,4,2,3,1,NA,24,28000,7400,1,2,3400,496,7400,3600,6,1,2,2,2
"9058",43452,"64",2,1,52,1,1,1,4,1,3,5,8,24,28000,7400,1,2,3400,496,7400,3600,1,1,2,2,1
"9059",43458,"64",3,1,24,1,1,1,4,2,2,5,9,NA,48400,6496,1,2,4266,556,6496,3200,1,2,2,1,2
"9060",43458,"64",3,2,23,1,1,1,4,2,2,7,12,NA,48400,6496,1,2,4266,556,6496,3200,6,2,2,2,2
"9061",43464,"64",2,1,53,1,1,1,4,2,2,6,9,12,27100,6800,1,2,5800,668,6800,4600,1,1,1,2,2
"9062",43464,"64",2,2,50,1,1,1,4,2,3,5,7,12,27100,6800,1,2,5800,668,6800,4600,6,1,1,2,2
