"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","v1501.1","v1511","b6.1","b6_1","b13_1","b14","b15","e31","v1409","t122","v1601","v1602","v1611","v1621","v1631","v1641","v1511.1","v1501.2"
"53",2076,"63",4,2,34,1,0,1,4,NA,4,1,NA,12.5,5844,3800,3,1,4768,3800,1800,NA,NA,NA,NA,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"54",2080,"63",6,2,45,1,0,NA,4,2,3,4,3,NA,5310.33333333333,5320,3,1,1294,5320,3100,2,NA,NA,3,NA,NA,NA,190,1,20,1,1,1,1,3100,5320
"55",2080,"63",6,2,18,2,0,NA,4,NA,2,9,12.5,NA,5310.33333333333,5320,3,1,1294,5320,3100,NA,NA,NA,NA,NA,NA,NA,190,1,20,1,1,1,1,3100,5320
"56",2080,"63",6,1,46,1,0,NA,4,2,2,4,3,NA,5310.33333333333,5320,3,1,1294,5320,3100,2,NA,NA,3,NA,NA,NA,190,1,20,1,1,1,1,3100,5320
"57",2080,"63",6,2,22,1,0,NA,4,2,2,4,4,NA,5310.33333333333,5320,3,1,1294,5320,3100,2,NA,NA,3,NA,NA,NA,190,1,20,1,1,1,1,3100,5320
"58",2080,"63",6,1,23,1,0,NA,4,2,2,5,8,NA,5310.33333333333,5320,3,1,1294,5320,3100,2,NA,NA,2,NA,NA,NA,190,1,20,1,1,1,1,3100,5320
"59",2084,"63",5,2,44,1,0,1,4,2,3,4,3,NA,9308.6,5320,3,1,1294,5320,3100,2,NA,NA,3,NA,NA,NA,190,1,20,1,1,1,1,3100,5320
"60",2084,"63",5,1,42,1,0,1,4,2,3,4,3,NA,9308.6,5320,3,1,1294,5320,3100,2,NA,NA,3,NA,NA,NA,190,1,20,1,1,1,1,3100,5320
"61",2084,"63",5,1,20,2,0,1,4,1,3,4,3,NA,9308.6,5320,3,1,1294,5320,3100,1,2,2011,2,NA,2,NA,190,1,20,1,1,1,1,3100,5320
"62",2088,"63",4,1,46,1,0,1,4,2,2,5,8,6.40000009536743,12710.5,5320,3,1,1294,5320,3100,2,NA,NA,3,NA,NA,NA,190,1,20,1,1,1,1,3100,5320
"63",2088,"63",4,2,44,1,0,1,4,2,2,4,3,6.40000009536743,12710.5,5320,3,1,1294,5320,3100,2,NA,NA,3,NA,NA,NA,190,1,20,1,1,1,1,3100,5320
"64",2088,"63",4,1,16,2,0,1,4,NA,1,6,11.5,6.40000009536743,12710.5,5320,3,1,1294,5320,3100,NA,NA,NA,NA,NA,NA,NA,190,1,20,1,1,1,1,3100,5320
"65",2088,"63",4,1,20,2,0,1,4,1,1,8,15,6.40000009536743,12710.5,5320,3,1,1294,5320,3100,1,3,2008,1,2008,44,NA,190,1,20,1,1,1,1,3100,5320
