"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b06","b11","b01","b02","CookMthd","b04","b05","a16","a18","h28","h29","a19","a20","a17","a21"
"63",6264,"63",4,2,44,1,0,1,4,2,4,3,6.40000009536743,12710.5,5320,3,1,1294,190,5320,3100,150,80000,2,3,"Coal",1,1,1,5,3,NA,NA,NA,1,2
"64",6264,"63",4,1,16,2,0,1,4,1,6,11.5,6.40000009536743,12710.5,5320,3,1,1294,190,5320,3100,150,80000,2,3,"Coal",1,1,1,NA,3,NA,NA,NA,1,2
"65",6264,"63",4,1,20,2,0,1,4,1,8,15,6.40000009536743,12710.5,5320,3,1,1294,190,5320,3100,150,80000,2,3,"Coal",1,1,1,NA,3,NA,NA,NA,1,2
"66",6276,"63",6,1,35,1,0,1,4,2,4,3,3.20000004768372,3482,5320,3,1,1294,190,5320,3100,150,50000,2,3,"Coal",1,1,1,NA,3,NA,1,15,1,2
"67",6276,"63",6,2,33,1,0,1,4,2,4,3,3.20000004768372,3482,5320,3,1,1294,190,5320,3100,150,50000,2,3,"Coal",1,1,1,NA,3,NA,NA,NA,1,2
"68",6288,"63",4,2,35,1,0,1,4,2,4,3,NA,3711,5320,3,1,1294,190,5320,3100,135,60000,2,3,"Coal",1,1,1,NA,3,NA,NA,NA,1,2
"69",6288,"63",4,1,39,1,0,1,4,2,4,3,NA,3711,5320,3,1,1294,190,5320,3100,135,60000,2,3,"Coal",1,1,1,NA,3,NA,1,10,1,2
"70",6300,"63",6,2,33,1,0,1,4,2,5,8,13,8121.83333333333,4160,3,2,6785,504,4160,2100,200,120000,2,3,"Coal",1,1,1,0,2,NA,0,NA,1,2
"71",6300,"63",6,1,35,1,0,1,4,2,4,3,13,8121.83333333333,4160,3,2,6785,504,4160,2100,200,120000,2,3,"Coal",1,1,1,0,2,NA,0,10,1,2
"72",6312,"63",3,2,44,1,1,1,4,3,4,3,10.3000001907349,4080.66666666667,4160,3,2,6785,504,4160,2100,105,40000,2,3,"Coal",1,1,1,NA,2,NA,NA,NA,1,2
