"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","a16","a18","h28","h29","a19","a20","a17","a21"
"76",4216,"63",6,2,37,1,0,1,4,2,2,1,NA,NA,2441.83333333333,4160,3,2,6785,504,4160,2100,1,0,2,NA,NA,NA,1,2
"77",4216,"63",6,1,41,2,1,1,4,1,2,4,3,NA,2441.83333333333,4160,3,2,6785,504,4160,2100,1,0,2,NA,NA,5,2,2
"78",4224,"63",4,2,30,1,0,1,4,2,3,4,3,NA,2256,4160,3,2,6785,504,4160,2100,1,5,3,NA,NA,NA,1,2
"79",4224,"63",4,1,27,2,1,1,4,2,3,4,6,NA,2256,4160,3,2,6785,504,4160,2100,1,NA,3,NA,0,5,1,2
"80",4224,"63",4,1,41,1,1,1,4,1,3,4,3,NA,2256,4160,3,2,6785,504,4160,2100,1,NA,3,NA,0,10,1,2
"81",4232,"63",6,1,60,1,1,1,4,1,3,4,3,30,6172.5,4160,3,2,6785,504,4160,2100,1,0,2,NA,1,20,1,1
"82",4232,"63",6,2,31,1,1,1,4,2,3,1,NA,30,6172.5,4160,3,2,6785,504,4160,2100,1,0,2,NA,NA,NA,1,2
"83",4232,"63",6,2,60,1,1,1,4,2,4,4,3,30,6172.5,4160,3,2,6785,504,4160,2100,1,0,2,NA,NA,NA,1,1
"84",4232,"63",6,1,36,1,1,1,4,1,3,4,6,30,6172.5,4160,3,2,6785,504,4160,2100,1,0,2,NA,NA,10,1,2
"85",4240,"63",5,2,39,1,0,1,4,2,3,2,NA,NA,1717,3420,3,1,4700,255,3420,1850,1,0,3,NA,NA,NA,1,2
"86",4240,"63",5,1,41,1,0,1,4,1,3,5,8,NA,1717,3420,3,1,4700,255,3420,1850,1,0,3,NA,1,10,1,2
"87",4240,"63",5,2,16,NA,0,1,4,NA,3,6,11.5,NA,1717,3420,3,1,4700,255,3420,1850,1,0,3,NA,NA,NA,1,NA
"88",4248,"63",4,2,36,1,1,1,4,2,2,4,3,18,4231,3420,3,1,4700,255,3420,1850,1,0,1,NA,NA,NA,1,2
"89",4248,"63",4,2,16,2,1,1,4,NA,1,6,11.5,18,4231,3420,3,1,4700,255,3420,1850,1,0,1,NA,NA,NA,1,2
"90",4248,"63",4,1,41,1,1,1,4,2,2,5,8,18,4231,3420,3,1,4700,255,3420,1850,1,0,1,NA,1,5,1,2
"91",4256,"63",6,2,17,2,0,1,4,2,2,5,2.5,25,7374.83333333333,3420,3,1,4700,255,3420,1850,1,NA,2,NA,NA,NA,1,2
"92",4256,"63",6,2,55,4,0,1,4,2,3,1,NA,25,7374.83333333333,3420,3,1,4700,255,3420,1850,1,NA,2,NA,NA,NA,1,2
"93",4256,"63",6,2,32,1,0,1,4,2,2,6,12,25,7374.83333333333,3420,3,1,4700,255,3420,1850,1,NA,2,NA,NA,NA,1,2
"94",4256,"63",6,1,35,1,0,1,1,2,2,9,15,25,7374.83333333333,3420,3,1,4700,255,3420,1850,1,NA,2,NA,1,20,1,2
"95",4264,"63",4,1,48,3,1,1,4,2,1,1,NA,18,3823,3420,3,1,4700,255,3420,1850,1,NA,3,NA,1,15,1,2
"96",4264,"63",4,1,28,2,1,1,4,2,1,5,8,18,3823,3420,3,1,4700,255,3420,1850,1,NA,3,NA,NA,NA,1,2
"97",4272,"63",9,2,46,1,0,1,4,2,2,1,NA,28,2386.66666666667,3420,3,1,4700,255,3420,1850,1,NA,4,1,0,NA,1,2
"98",4272,"63",9,1,49,1,0,1,4,2,2,4,3,28,2386.66666666667,3420,3,1,4700,255,3420,1850,1,NA,4,1,1,20,1,2
"99",4272,"63",9,1,27,1,0,1,4,1,2,5,7,28,2386.66666666667,3420,3,1,4700,255,3420,1850,1,NA,4,1,0,20,1,2
"100",4272,"63",9,2,18,2,0,1,4,2,2,5,8,28,2386.66666666667,3420,3,1,4700,255,3420,1850,1,NA,4,1,0,NA,1,2
"101",4272,"63",9,1,20,2,0,1,4,2,2,5,8,28,2386.66666666667,3420,3,1,4700,255,3420,1850,1,NA,4,1,1,10,1,2
"102",4272,"63",9,2,39,2,0,1,4,2,2,4,3,28,2386.66666666667,3420,3,1,4700,255,3420,1850,1,NA,4,1,0,NA,1,2
"103",4280,"63",6,2,44,1,1,1,4,2,2,4,3,11,36178.8333333333,4400,3,2,3750,324,4400,2400,1,NA,3,NA,NA,NA,1,2
"104",4280,"63",6,1,25,1,1,1,4,1,2,5,8,11,36178.8333333333,4400,3,2,3750,324,4400,2400,1,NA,3,NA,1,15,1,2
"105",4280,"63",6,2,23,1,1,1,4,1,2,5,8,11,36178.8333333333,4400,3,2,3750,324,4400,2400,1,NA,3,NA,NA,NA,1,2
"106",4280,"63",6,1,45,1,1,1,4,1,2,4,3,11,36178.8333333333,4400,3,2,3750,324,4400,2400,1,NA,3,NA,1,20,1,2
"107",4288,"63",4,1,30,1,1,1,4,1,2,5,8,23,6913,4400,3,2,3750,324,4400,2400,1,NA,3,NA,1,10,1,2
"108",4288,"63",4,2,26,1,1,1,4,2,2,5,8,23,6913,4400,3,2,3750,324,4400,2400,1,5,3,NA,NA,NA,1,2
"109",4296,"63",4,1,17,2,1,1,4,NA,2,6,11.5,15,12853.25,4400,3,2,3750,324,4400,2400,1,NA,2,NA,NA,NA,1,2
"110",4296,"63",4,2,36,1,1,1,4,2,2,4,4,15,12853.25,4400,3,2,3750,324,4400,2400,1,NA,2,NA,NA,NA,1,2
"111",4296,"63",4,1,43,1,1,1,4,1,2,5,8,15,12853.25,4400,3,2,3750,324,4400,2400,1,10,2,NA,1,20,1,2
"112",4304,"63",6,1,23,1,1,1,4,1,2,5,8,18,1637.16666666667,4400,3,2,3750,324,4400,2400,1,NA,3,NA,1,10,1,2
"113",4304,"63",6,2,43,1,1,1,4,2,3,4,3,18,1637.16666666667,4400,3,2,3750,324,4400,2400,1,NA,3,NA,NA,NA,1,2
"114",4304,"63",6,1,45,1,1,1,4,1,2,4,3,18,1637.16666666667,4400,3,2,3750,324,4400,2400,1,NA,3,NA,1,20,1,2
"115",4304,"63",6,1,21,2,1,1,4,1,2,5,8,18,1637.16666666667,4400,3,2,3750,324,4400,2400,1,NA,3,NA,NA,10,1,2
"116",4304,"63",6,2,21,1,1,1,4,2,2,5,8,18,1637.16666666667,4400,3,2,3750,324,4400,2400,1,20,3,NA,NA,NA,1,2
"117",4312,"63",5,2,52,4,1,1,4,2,3,1,NA,NA,2652.2,4400,3,2,3750,324,4400,2400,1,NA,4,1,NA,NA,1,2
"118",4312,"63",5,2,24,1,1,1,4,2,2,5,7,NA,2652.2,4400,3,2,3750,324,4400,2400,1,NA,4,1,NA,NA,1,2
"119",4312,"63",5,1,26,1,1,1,4,1,2,4,3,NA,2652.2,4400,3,2,3750,324,4400,2400,1,NA,4,1,1,5,1,2
"120",4320,"63",3,2,46,1,1,1,4,2,2,1,NA,13.8000001907349,6716,6439,3,2,3780,272,6439,3000,1,5,3,NA,NA,NA,1,NA
"121",4320,"63",3,1,49,1,1,1,4,2,1,5,7,13.8000001907349,6716,6439,3,2,3780,272,6439,3000,1,3,3,NA,1,15,1,NA
"122",4320,"63",3,2,20,2,1,1,4,1,1,5,8,13.8000001907349,6716,6439,3,2,3780,272,6439,3000,1,3,3,NA,NA,10,1,NA
"123",4328,"63",4,2,38,1,1,1,4,2,2,1,NA,12.1999998092651,12750,6439,3,2,3780,272,6439,3000,1,5,2,NA,NA,NA,1,2
"124",4328,"63",4,1,20,2,1,1,4,2,1,12,13.5,12.1999998092651,12750,6439,3,2,3780,272,6439,3000,1,3,2,NA,NA,NA,1,2
"125",4328,"63",4,1,41,1,1,1,4,2,1,4,3,12.1999998092651,12750,6439,3,2,3780,272,6439,3000,1,3,2,NA,1,15,1,2
"126",4328,"63",4,2,18,2,1,1,2,NA,1,5,7,12.1999998092651,12750,6439,3,2,3780,272,6439,3000,1,3,2,NA,1,10,1,2
