"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b6","b6_1","b6_2","b13_1","b13_2","b13_3","b13_4","b14","b15","b15_1","b15_2","n1_3","n1_3_1","e30","e31","e32","e33","e38"
"45",1032,"63",5,2,18,2,0,1,4,NA,5,NA,15.5,4225.4,3800,3,1,4768,285,3800,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",1034,"63",3,2,42,1,0,1,4,4,6,11,NA,10432.6666666667,3800,3,1,4768,285,3800,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1034,"63",3,1,21,2,0,1,4,2,10,15,NA,10432.6666666667,3800,3,1,4768,285,3800,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1036,"63",5,1,40,1,0,1,1,3,5,8,16.5,2975.8,3800,3,1,4768,285,3800,1800,1,4,56,2005,6,NA,NA,2,2005,2,6,NA,NA,1,63,2,8,NA
"49",1036,"63",5,2,40,1,0,1,4,3,1,NA,16.5,2975.8,3800,3,1,4768,285,3800,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1038,"63",4,1,20,2,0,1,4,3,5,9,12.5,5844,3800,3,1,4768,285,3800,1800,1,6,60,2009,5,NA,NA,1,2009,2,5,3500,NA,1,63,2,11,NA
"51",1038,"63",4,1,18,2,0,1,4,3,5,9,12.5,5844,3800,3,1,4768,285,3800,1800,1,6,60,2010,5,NA,NA,1,2010,2,5,3500,NA,1,63,2,11,NA
"52",1038,"63",4,1,39,1,0,1,4,3,4,6,12.5,5844,3800,3,1,4768,285,3800,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1038,"63",4,2,34,1,0,1,4,4,1,NA,12.5,5844,3800,3,1,4768,285,3800,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1040,"63",6,2,45,1,0,NA,4,3,4,3,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1040,"63",6,2,18,2,0,NA,4,2,9,12.5,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1040,"63",6,1,46,1,0,NA,4,2,4,3,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1040,"63",6,2,22,1,0,NA,4,2,4,4,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1040,"63",6,1,23,1,0,NA,4,2,5,8,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1042,"63",5,2,44,1,0,1,4,3,4,3,NA,9308.6,5320,3,1,1294,190,5320,3100,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1042,"63",5,1,42,1,0,1,4,3,4,3,NA,9308.6,5320,3,1,1294,190,5320,3100,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1042,"63",5,1,20,2,0,1,4,3,4,3,NA,9308.6,5320,3,1,1294,190,5320,3100,1,2,70,2011,6,NA,NA,2,NA,NA,NA,4500,4265,1,2,7,5,NA
"62",1044,"63",4,1,46,1,0,1,4,2,5,8,6.40000009536743,12710.5,5320,3,1,1294,190,5320,3100,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1044,"63",4,2,44,1,0,1,4,2,4,3,6.40000009536743,12710.5,5320,3,1,1294,190,5320,3100,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1044,"63",4,1,16,2,0,1,4,1,6,11.5,6.40000009536743,12710.5,5320,3,1,1294,190,5320,3100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1044,"63",4,1,20,2,0,1,4,1,8,15,6.40000009536743,12710.5,5320,3,1,1294,190,5320,3100,1,3,70,2008,6,NA,NA,1,2008,NA,6,40000,30000,1,44,7,6,NA
"66",1046,"63",6,1,35,1,0,1,4,2,4,3,3.20000004768372,3482,5320,3,1,1294,190,5320,3100,1,4,70,2009,6,NA,NA,2,2009,2,6,9200,8200,1,2,2,5,NA
"67",1046,"63",6,2,33,1,0,1,4,2,4,3,3.20000004768372,3482,5320,3,1,1294,190,5320,3100,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1048,"63",4,2,35,1,0,1,4,2,4,3,NA,3711,5320,3,1,1294,190,5320,3100,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1048,"63",4,1,39,1,0,1,4,2,4,3,NA,3711,5320,3,1,1294,190,5320,3100,1,4,70,2011,6,NA,NA,2,NA,NA,NA,14000,10920,1,2,3,5,NA
"70",1050,"63",6,2,33,1,0,1,4,2,5,8,13,8121.83333333333,4160,3,2,6785,504,4160,2100,1,NA,NA,2010,6,NA,NA,1,2010,2,5,NA,NA,NA,NA,NA,NA,NA
