"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b2","Unemp","EmptType","b4_2","b5","b7","b10","b12","c11_1","c12","pa151"
"2393",23170,"yunnan",3,2,40,1,0,2,4,1990,0,0,40,2005,8,6,1,5,9,6000
"2395",23180,"yunnan",3,2,34,1,1,1,1,1997,0,0,40,1997,19,1,3,12,12,46800
"2396",23180,"yunnan",3,1,41,1,1,1,1,1990,0,0,56,1990,19,1,4,12,11,48000
"2398",23190,"yunnan",3,1,30,1,1,2,4,2002,0,1,50,2002,8,NA,NA,8,12,NA
"2399",23190,"yunnan",3,2,24,1,1,2,4,2007,0,0,50,2009,8,1,1,8,12,18000
"2400",23190,"yunnan",3,1,59,3,1,2,4,1981,0,0,32,1981,1,NA,NA,2,1,NA
"2401",23200,"yunnan",3,2,35,1,1,1,1,2004,0,0,37,2009,1,1,2,11,15,33000
"2402",23200,"yunnan",3,1,37,1,1,1,1,1997,0,0,46,2008,6,6,3,5,9,15000
"2404",23210,"yunnan",4,1,43,1,0,1,4,1996,0,0,42,1996,8,4,1,5,9,21600
"2406",23210,"yunnan",4,1,19,2,0,1,4,NA,1,NA,NA,NA,NA,NA,NA,6,12,NA
"2408",23220,"yunnan",3,1,45,1,0,1,1,1986,0,1,70,2009,9,NA,NA,5,8,NA
"2409",23220,"yunnan",3,2,39,1,0,1,4,1990,0,0,70,2009,9,5,1,5,8,18000
"2411",23230,"yunnan",3,1,48,1,1,1,4,1979,0,1,50,2001,8,NA,NA,5,8,NA
"2412",23230,"yunnan",3,2,36,1,1,2,4,2001,0,0,50,2001,8,NA,1,5,8,60000
"2414",23240,"yunnan",3,1,23,2,1,2,4,2004,0,0,12,2007,5,NA,2,5,9,20000
"2415",23240,"yunnan",3,1,54,1,1,2,4,1974,0,0,10,1974,1,NA,NA,4,5,NA
"2416",23240,"yunnan",3,2,51,1,1,2,4,1974,0,0,10,1974,1,NA,NA,6,11,NA
"2417",23250,"yunnan",3,1,46,1,1,1,1,1986,0,0,56,2004,19,1,3,6,NA,40000
"2418",23250,"yunnan",3,2,38,1,1,1,1,1995,0,0,48,1995,19,1,3,10,NA,36000
"2420",23260,"yunnan",3,1,28,1,1,2,4,2000,0,0,60,2005,18,6,1,6,12,1e+05
"2423",23270,"yunnan",3,1,29,1,1,2,4,1997,0,1,70,2003,9,NA,NA,5,9,NA
"2424",23270,"yunnan",3,2,29,1,1,2,4,2003,0,0,70,2003,9,5,1,6,12,30000
"2426",23280,"yunnan",3,2,38,1,1,1,1,1997,0,0,40,2007,19,7,2,12,15,29454
"2427",23280,"yunnan",3,1,44,1,1,1,1,1986,0,0,40,1993,19,1,2,10,10,40800
"2429",23290,"yunnan",2,2,46,1,0,1,4,1991,0,0,40,1991,17,1,2,6,10,27756
"2431",23300,"yunnan",4,2,35,1,0,1,1,1997,0,0,40,1997,17,1,2,9,14,30216
"2432",23300,"yunnan",4,1,35,1,0,1,1,1997,0,0,45,1997,19,1,3,9,14,42000
"2435",23310,"yunnan",3,1,54,1,1,1,4,1973,0,0,45,1973,4,1,5,6,10,43200
"2436",23310,"yunnan",3,2,49,1,1,1,4,1983,0,0,45,1983,4,1,5,9,13,48000
"2437",23310,"yunnan",3,2,24,2,1,1,4,2010,0,0,45,2010,4,3,2,11,13,31000
"2438",23320,"yunnan",3,1,33,1,1,1,4,2000,0,0,60,2000,11,3,2,9,14,36000
"2439",23320,"yunnan",3,2,33,1,1,1,4,2000,0,1,56,2000,8,NA,NA,9,14,NA
"2443",23340,"yunnan",3,1,49,1,1,1,1,1984,0,0,40,2003,19,1,2,9,13,30000
"2444",23340,"yunnan",3,2,47,1,1,1,4,1982,0,0,36,2003,15,3,2,9,13,31200
"2446",23350,"yunnan",3,2,37,1,0,1,1,1996,0,0,50,1996,17,1,2,11,15,33548
"2447",23350,"yunnan",3,1,40,1,0,1,1,1994,0,0,50,1994,10,1,2,11,15,42000
"2449",23360,"yunnan",3,1,54,1,0,1,4,1980,0,0,40,1980,6,1,4,10,10,39000
"2450",23360,"yunnan",3,2,49,1,0,1,4,1982,0,0,40,1982,6,1,4,5,8,36000
"2451",23360,"yunnan",3,2,21,2,0,1,4,2009,0,0,40,2009,7,5,1,6,12,20000
"2452",23370,"yunnan",4,2,51,4,0,1,4,1998,0,1,48,1998,9,NA,NA,4,5,NA
"2453",23370,"yunnan",4,1,26,1,0,1,4,2003,0,0,50,2003,9,6,1,5,9,9600
"2454",23370,"yunnan",4,2,23,1,0,1,4,NA,1,NA,NA,NA,NA,NA,NA,5,9,NA
"2456",23380,"yunnan",4,1,48,1,0,1,4,1983,0,0,48,1983,4,1,4,8,13,30000
"2457",23380,"yunnan",4,2,48,1,0,1,1,1983,0,0,48,1983,8,1,2,8,13,12000
"2460",23390,"yunnan",4,1,49,1,0,1,4,1982,0,1,38,2010,8,NA,NA,4,5,NA
"2461",23390,"yunnan",4,2,45,1,0,1,4,1986,0,1,42,2010,8,NA,NA,6,10,NA
"2464",23400,"yunnan",5,1,50,1,0,1,4,1980,0,0,40,1980,19,1,2,11,15,38400
"2465",23400,"yunnan",5,2,49,1,0,1,4,1985,0,0,40,1985,16,5,2,11,15,36000
"2466",23400,"yunnan",5,1,22,2,0,1,2,NA,1,NA,NA,NA,NA,NA,NA,11,16,NA
"2469",23410,"yunnan",3,1,47,1,0,1,4,1985,0,1,10,2004,8,NA,NA,6,10,NA
"2470",23410,"yunnan",3,2,45,1,0,1,4,1987,0,0,7,2004,8,6,1,8,12,18000
"2472",23420,"yunnan",5,1,37,1,0,1,4,1999,0,1,52,1999,15,NA,NA,5,9,NA
"2477",23430,"yunnan",4,1,36,1,0,1,1,1997,0,0,8,1997,19,6,3,11,17,28800
"2478",23430,"yunnan",4,2,34,1,0,1,4,1996,0,0,8,1996,19,6,2,11,17,28800
"2481",23440,"yunnan",5,1,61,1,0,1,4,1970,0,1,46,1985,8,NA,NA,5,7,NA
