"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b2","Unemp","EmptType","b4_2","b5","b7","b10","b12","c11_1","c12","pa151"
"4969",72250,"ningxia",4,2,35,1,1,1,4,2001,0,0,48,2001,9,5,2,5,9,NA
"4972",72260,"ningxia",3,1,38,1,1,1,1,1995,0,0,45,1995,4,4,3,11,11,33120
"4975",72270,"ningxia",2,1,27,1,1,1,4,2007,0,0,10,2007,10,6,3,9,15,38400
"4976",72270,"ningxia",2,2,26,1,1,1,4,NA,1,NA,NA,NA,NA,NA,NA,9,15,NA
"4980",72290,"ningxia",4,1,30,1,1,1,1,2005,0,0,45,2005,6,6,2,9,9,39600
"4984",78160,"ningxia",4,1,38,1,0,1,2,2000,0,0,48,2000,4,2,3,6,12,72782.9
"4985",78160,"ningxia",4,2,34,1,0,1,4,2006,0,1,30,2006,15,6,1,8,15,15396
"4990",78170,"ningxia",3,1,31,2,0,1,4,2008,0,1,40,2008,11,3,7,10,16,2600
"4991",78180,"ningxia",3,1,48,1,0,1,4,1985,0,0,56,2000,15,1,3,5,9,10000
"4994",78190,"ningxia",4,1,35,1,0,2,4,1995,0,0,70,2004,6,5,2,4,6,20000
"4998",78200,"ningxia",3,2,24,1,0,2,4,2006,0,1,70,2006,5,NA,NA,6,12,0
"4999",78200,"ningxia",3,1,24,1,0,2,4,2005,0,0,60,2007,15,6,2,5,9,10000
"5001",78210,"ningxia",3,1,36,1,0,1,4,1995,0,0,56,2007,8,5,1,5,9,15000
"5002",78210,"ningxia",3,2,36,1,0,1,4,1996,0,0,50,2001,15,6,2,5,9,20000
"5004",78220,"ningxia",4,2,56,1,0,1,4,1979,0,0,58,2006,15,5,3,1,0,10000
"5005",78220,"ningxia",4,1,53,1,0,1,4,1979,0,0,55,2006,15,5,3,1,0,15000
"5006",78220,"ningxia",4,1,22,2,0,1,4,2008,0,0,40,2008,3,6,3,5,9,24000
"5007",78220,"ningxia",4,2,21,2,0,1,4,2010,0,0,40,2010,17,3,3,6,12,12000
"5008",78230,"ningxia",4,1,35,1,1,2,4,1996,0,1,65,2001,8,NA,NA,4,6,0
"5009",78230,"ningxia",4,2,33,1,1,2,4,2001,0,0,70,2001,9,5,1,4,6,30000
"5012",78240,"ningxia",4,1,43,1,1,1,4,1988,0,0,56,2001,6,5,5,4,6,42000
"5014",78240,"ningxia",4,1,21,2,1,1,4,2008,0,1,70,2008,14,7,1,5,9,0
"5019",78260,"ningxia",3,1,27,1,1,1,1,2003,0,1,65,2009,6,NA,NA,5,9,0
"5024",78280,"ningxia",2,1,28,1,1,NA,2,2000,0,0,45,2000,5,5,3,8,12,54000
"5028",78300,"ningxia",3,1,44,1,1,1,4,2002,0,0,40,2002,1,4,2,9,12,NA
"5029",78300,"ningxia",3,2,41,1,1,1,2,2003,0,0,40,2003,15,6,1,8,9,NA
"5033",78320,"ningxia",3,1,30,1,1,1,4,2006,0,0,50,2006,4,2,1,6,12,48000
"5034",78320,"ningxia",3,2,30,1,1,1,4,2004,0,1,40,2004,15,7,1,6,12,NA
"5036",78330,"ningxia",3,1,34,1,1,NA,1,1994,0,0,40,1994,16,4,2,9,14,NA
"5037",78330,"ningxia",3,2,33,1,1,NA,1,1996,0,0,40,1996,16,4,2,11,15,NA
"5039",78340,"ningxia",3,1,35,1,1,1,2,1997,0,0,34,1997,15,2,2,8,15,NA
"5040",78340,"ningxia",3,2,29,1,1,1,2,1999,0,0,36,1999,15,6,1,6,12,NA
"5042",78350,"ningxia",4,1,34,1,1,1,2,1996,0,0,45,1996,4,2,3,7,12,NA
"5043",78350,"ningxia",4,2,31,1,1,1,NA,2000,0,1,60,2000,15,6,1,5,9,NA
"5048",78370,"ningxia",2,1,28,1,1,1,4,2003,0,0,40,2003,6,6,1,5,9,3000
"5049",78370,"ningxia",2,2,25,1,1,1,4,2005,0,0,45,2005,15,3,1,8,12,1200
"5052",78390,"ningxia",3,1,50,1,1,1,2,1979,0,0,30,1990,2,4,2,9,15,NA
"5055",78400,"ningxia",3,1,38,1,1,1,4,1998,1,NA,NA,NA,NA,NA,NA,6,12,NA
"5056",78400,"ningxia",3,2,35,1,1,1,4,1998,0,0,50,1998,8,6,1,6,12,18000
"5058",78410,"ningxia",3,1,50,1,1,1,4,1980,0,0,39,1980,1,1,1,5,9,45900
"5060",78410,"ningxia",3,1,26,2,1,1,1,2009,0,0,50,2009,15,2,1,8,12,24000
"5063",78430,"ningxia",3,1,38,1,1,1,NA,1989,0,0,56,1989,3,NA,7,6,11,28871.2
"5064",78430,"ningxia",3,2,39,1,1,1,NA,1990,0,0,56,1990,3,NA,7,8,13,21094
"5066",78440,"ningxia",2,2,46,1,1,1,NA,2006,0,0,40,2006,19,1,1,5,8,30738.4
"5067",78440,"ningxia",2,1,45,1,1,1,1,1985,0,0,40,1985,16,1,3,11,14,9600
"5068",78450,"ningxia",2,1,26,1,1,1,NA,2000,0,0,70,2000,5,5,2,5,9,48300
"5069",78450,"ningxia",2,2,24,1,1,1,2,2004,0,0,56,2004,8,3,3,8,15,14014
"5070",78460,"ningxia",3,1,32,1,1,1,NA,2000,0,0,48,2000,3,4,7,8,15,33888
"5071",78460,"ningxia",3,2,30,1,1,1,NA,2003,0,0,48,2003,3,4,7,8,15,19421
"5075",78480,"ningxia",3,1,30,1,1,1,NA,2005,0,0,56,2005,3,3,7,5,9,29848.3
"5082",78500,"ningxia",2,1,30,1,1,1,NA,1999,0,0,56,1999,3,3,7,5,12,32780
"5083",78500,"ningxia",2,2,25,1,1,1,NA,2004,0,0,56,2011,8,5,7,5,12,19655
"5084",78510,"ningxia",2,1,31,1,1,1,NA,2002,0,1,60,2002,6,NA,NA,6,12,NA
"5085",78510,"ningxia",2,2,23,1,1,1,NA,2003,0,1,60,2003,8,NA,NA,5,9,NA
"5086",78520,"ningxia",3,1,27,1,1,1,NA,2005,0,0,56,2005,3,4,7,9,15,32981.4
"5087",78520,"ningxia",3,2,29,1,1,1,NA,2005,0,0,56,2005,3,4,7,9,15,17524.1
"5089",78530,"ningxia",2,1,25,1,1,1,2,2004,0,0,46,2004,3,NA,7,6,12,39016
"5090",78530,"ningxia",2,2,21,1,1,1,2,2009,0,0,40,2009,3,NA,7,8,15,24000
"5093",78550,"ningxia",5,1,37,1,1,1,NA,2000,0,0,48,2000,3,5,7,5,8,39493.43
"5094",78550,"ningxia",5,2,36,1,1,1,NA,2005,0,0,48,2005,3,5,7,5,8,31638.57
"5098",78560,"ningxia",4,1,33,1,1,1,NA,2008,0,0,40,2008,6,6,2,6,12,18035
"5102",78570,"ningxia",4,1,30,1,0,1,NA,2003,0,1,70,2003,8,NA,NA,6,11,NA
"5106",78580,"ningxia",2,1,30,1,0,1,NA,NA,0,0,56,2004,3,3,7,6,11,32923.4
"5107",78580,"ningxia",2,2,29,1,0,1,NA,NA,0,0,56,2004,3,3,7,6,11,30232
"5108",78590,"ningxia",3,1,49,1,0,1,1,1980,0,0,40,2010,19,NA,2,11,14,44609.6
"5109",78590,"ningxia",3,2,47,1,0,1,NA,1980,0,0,40,2010,8,NA,2,8,12,21600
"5110",78590,"ningxia",3,1,23,2,0,1,NA,2011,0,0,40,2011,10,NA,2,11,16,2000
"5111",78600,"ningxia",3,1,33,1,0,1,NA,2006,0,1,70,2006,7,NA,1,10,15,27750
"5112",78600,"ningxia",3,2,28,1,0,1,NA,2009,0,0,48,2009,17,4,4,8,12,19252.1
"5115",78610,"ningxia",2,2,58,1,0,1,NA,2007,0,0,41,2007,11,6,1,1,NA,15100
"5116",78620,"ningxia",3,1,33,1,0,NA,1,2002,0,0,40,2011,19,1,2,9,15,25789.3
"5117",78620,"ningxia",3,2,28,1,0,NA,NA,2002,0,0,40,2002,16,1,3,9,15,25961
"5119",78630,"ningxia",3,1,43,1,0,1,NA,1990,0,0,58,2003,3,NA,7,6,11,21064
"5120",78630,"ningxia",3,2,41,1,0,1,NA,1994,0,0,56,2003,3,NA,7,6,11,25064
"5122",78640,"ningxia",3,1,40,1,0,1,NA,1992,0,0,40,1992,19,NA,2,9,14,28334
"5123",78640,"ningxia",3,2,35,1,0,1,NA,1997,0,1,60,1997,8,NA,NA,5,9,NA
"5125",78650,"ningxia",2,2,48,1,0,1,NA,NA,0,0,NA,NA,10,NA,3,8,13,54200
"5126",78650,"ningxia",2,1,49,1,0,1,1,1982,0,0,48,1982,19,1,2,12,13,50464
"5127",78660,"ningxia",1,2,49,4,0,1,NA,1986,0,1,70,NA,8,NA,NA,5,8,NA
"5130",78670,"ningxia",3,2,24,2,0,1,4,2006,0,0,47,2006,15,3,2,8,15,NA
"5131",78680,"ningxia",3,1,43,1,0,1,1,1989,0,0,40,1989,19,1,1,9,12,33488
"5132",78680,"ningxia",3,2,43,1,0,1,NA,1991,0,0,40,1991,16,1,4,10,14,36512
"5134",78690,"ningxia",2,1,33,1,0,1,2,2005,0,0,40,2005,4,4,2,8,14,34204.8
"5135",78690,"ningxia",2,2,34,1,0,1,2,1999,0,0,35,1999,15,2,1,8,14,12000
"5138",78710,"ningxia",3,1,46,2,0,1,2,1980,0,0,40,1980,1,1,2,11,16,33600
"5139",78710,"ningxia",3,2,46,2,0,1,2,1980,0,0,40,1980,8,6,1,6,12,38400
"5140",78710,"ningxia",3,1,24,1,0,1,2,2009,0,0,36,2009,12,3,3,9,15,16800
"5145",78730,"ningxia",3,1,36,2,0,1,1,1999,0,NA,50,2009,10,1,5,12,15,36000
"5146",78730,"ningxia",3,2,35,1,0,1,1,2001,0,NA,50,2009,19,1,2,12,15,24000
"5150",78740,"ningxia",3,2,26,2,0,1,1,2008,0,0,40,2008,15,NA,1,9,15,NA
"5151",78750,"ningxia",3,1,36,1,0,1,NA,1997,0,0,42,1997,13,1,1,11,15,35520
"5152",78750,"ningxia",3,2,35,1,0,1,NA,1993,0,0,40,1993,5,1,2,11,15,28800
"5154",78760,"ningxia",2,1,58,1,1,1,1,1973,0,0,77,1973,5,NA,NA,8,12,NA
"5155",78760,"ningxia",2,2,55,1,1,1,4,1974,0,1,77,1998,8,NA,NA,8,12,NA
"5156",78770,"ningxia",4,1,48,1,1,1,4,1993,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"5157",78770,"ningxia",4,2,49,1,1,1,4,1993,0,0,56,1993,14,3,2,2,NA,NA
"5158",78770,"ningxia",4,2,24,2,1,1,4,2008,1,NA,NA,NA,NA,NA,NA,8,12,NA
"5160",78780,"ningxia",3,1,46,1,1,1,1,1981,0,1,70,2005,12,NA,NA,5,9,NA
"5161",78780,"ningxia",3,2,44,1,1,1,1,1982,0,0,56,1982,5,5,5,5,9,27000
"5163",78790,"ningxia",3,2,40,1,1,1,4,1994,0,1,84,2003,12,NA,NA,5,9,NA
"5164",78790,"ningxia",3,1,42,1,1,1,4,1990,0,0,32,2000,6,3,1,6,12,NA
"5166",78800,"ningxia",4,1,53,1,1,1,4,NA,0,0,14,NA,9,6,NA,NA,NA,NA
"5167",78800,"ningxia",4,2,47,1,1,1,4,NA,0,0,14,NA,9,NA,NA,NA,NA,NA
"5168",78800,"ningxia",4,1,25,NA,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5170",78810,"ningxia",5,1,58,1,1,1,4,NA,0,NA,NA,NA,NA,NA,NA,1,NA,0
"5172",78810,"ningxia",5,1,33,1,1,1,4,2004,0,0,10,2004,15,6,1,6,NA,24000
"5175",78820,"ningxia",3,2,36,1,1,1,4,1996,0,1,8,96,15,4,1,5,5,20000
"5176",78820,"ningxia",3,1,37,1,1,1,4,1995,0,0,10,2001,6,6,1,5,5,40000
"5178",78830,"ningxia",3,1,52,1,1,1,4,2000,0,0,5,2000,5,5,2,5,6,12000
"5181",78840,"ningxia",3,2,33,1,1,1,4,2004,0,1,80,2004,17,NA,NA,9,NA,0
"5182",78840,"ningxia",3,1,33,1,1,1,4,2003,0,1,70,2003,17,NA,NA,9,NA,0
"5185",78850,"ningxia",4,1,28,1,NA,1,4,2000,0,0,8,2010,6,6,1,5,NA,15000
"5186",78850,"ningxia",4,2,26,1,NA,1,4,2007,0,0,8,2010,8,3,1,8,NA,15000
"5188",78860,"ningxia",3,1,39,1,1,1,1,1995,0,0,40,1995,10,4,7,9,NA,3e+05
"5189",78860,"ningxia",3,2,34,1,1,1,1,1997,0,0,40,1997,10,4,7,9,NA,150000
"5205",78910,"ningxia",5,1,68,1,0,NA,4,NA,0,0,70,NA,8,7,NA,NA,NA,NA
"5206",78910,"ningxia",5,2,67,1,0,NA,4,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA
"5210",78920,"ningxia",4,1,35,1,0,NA,4,NA,0,0,16,NA,6,7,NA,NA,NA,NA
"5211",78920,"ningxia",4,2,33,1,0,NA,4,NA,0,0,NA,NA,1,NA,NA,NA,NA,NA
"5243",79040,"ningxia",4,1,38,1,0,1,4,1996,0,1,9,1996,15,4,1,4,NA,30000
"5244",79040,"ningxia",4,2,38,1,0,1,4,1996,0,0,8,1998,9,6,2,4,NA,20000
"5247",79050,"ningxia",3,2,41,1,0,1,4,NA,0,0,70,1997,8,3,2,5,9,25000
"5250",79060,"ningxia",4,1,42,1,0,1,4,2009,0,0,50,2009,1,6,1,5,NA,30000
"5254",79070,"ningxia",3,1,34,1,0,1,4,2000,0,0,40,2012,17,3,1,8,NA,30000
"5255",79070,"ningxia",3,2,29,1,0,1,4,2002,0,0,40,2002,15,5,2,12,NA,25000
"5257",79080,"ningxia",4,1,32,1,0,1,4,2000,0,0,50,NA,15,6,1,4,NA,30000
"5258",79080,"ningxia",4,2,31,1,0,1,4,2008,0,1,50,NA,12,NA,NA,5,NA,NA
"5261",79090,"ningxia",2,1,56,1,0,1,4,2006,0,1,16,2006,15,NA,NA,4,NA,35000
"5263",79100,"ningxia",3,1,31,1,0,1,4,2000,0,0,56,2008,6,5,1,5,NA,NA
"5264",79100,"ningxia",3,2,27,1,0,1,4,2002,0,0,50,2012,12,5,1,5,NA,NA
"5266",79110,"ningxia",3,1,32,1,0,1,4,2000,0,1,40,2010,15,NA,NA,5,NA,20000
"5267",79110,"ningxia",3,2,31,1,0,1,4,2006,0,0,50,2006,8,6,2,5,NA,35000
"5269",79120,"ningxia",3,1,34,1,0,1,4,1999,0,1,70,2002,6,NA,NA,1,0,0
"5272",79130,"ningxia",3,1,41,1,0,1,4,1990,0,0,70,2001,6,6,1,5,9,6000
"5275",79140,"ningxia",4,1,39,1,0,2,NA,1992,0,0,70,2001,6,6,2,1,3,20000
"5279",79150,"ningxia",4,2,41,1,0,1,4,1995,0,0,48,2004,15,5,2,5,NA,12000
"5280",79150,"ningxia",4,1,42,1,0,1,4,1993,0,0,45,2003,15,7,2,5,NA,0
"5283",79160,"ningxia",3,1,23,1,0,2,4,2007,0,0,70,2008,9,5,2,1,5,12000
"5286",79170,"ningxia",6,1,32,1,0,NA,4,1999,0,0,70,2001,6,6,1,4,6,0
"5292",79180,"ningxia",2,1,21,1,0,2,4,2009,0,0,65,2009,6,5,2,5,9,20000
"5295",79190,"ningxia",2,2,27,2,0,1,4,2006,0,1,40,2008,18,3,6,11,16,50000
"5296",79200,"ningxia",3,1,55,1,0,1,4,2003,0,0,30,2003,1,6,2,4,NA,8000
"5301",79220,"ningxia",3,1,24,1,1,1,4,2003,0,1,60,2003,6,NA,NA,5,NA,0
"5304",79230,"ningxia",5,1,44,1,1,1,4,1985,0,1,60,1999,6,NA,NA,4,6,0
"5307",79230,"ningxia",5,1,17,2,1,1,4,2009,0,1,60,2009,5,NA,NA,5,9,0
"5309",79240,"ningxia",4,1,41,3,1,2,4,1991,0,1,70,2001,6,NA,NA,4,6,0
"5310",79240,"ningxia",4,2,39,3,1,2,4,NA,1,NA,NA,NA,NA,NA,NA,5,9,0
"5314",79250,"ningxia",3,1,47,1,1,NA,4,1985,0,0,45,2004,15,7,2,6,12,0
"5316",79260,"ningxia",3,1,37,3,1,1,4,NA,0,1,60,2002,6,NA,NA,5,9,0
"5319",79270,"ningxia",3,2,39,1,1,2,4,1992,0,0,56,2006,15,6,2,5,6,12000
"5320",79270,"ningxia",3,1,43,1,1,2,4,1995,0,0,56,2006,15,6,2,5,6,24000
"5322",79280,"ningxia",3,2,30,1,1,2,4,2000,0,0,63,2009,8,5,1,10,12,12000
"5323",79280,"ningxia",3,1,30,1,1,2,4,2000,0,0,50,2009,15,6,2,5,9,18000
"5327",79290,"ningxia",4,1,28,2,1,1,4,2004,0,0,40,2004,9,3,2,9,16,10000
"5329",79300,"ningxia",2,2,50,1,1,1,4,2009,0,1,84,2009,15,6,6,6,12,1080
"5330",79300,"ningxia",2,1,53,1,1,1,1,1979,0,1,84,1979,15,1,4,5,9,2000
"5335",79320,"ningxia",3,1,32,1,1,1,4,2000,0,0,50,2005,15,3,1,7,NA,30000
"5336",79320,"ningxia",3,2,31,1,1,1,4,2002,0,0,50,2008,12,6,1,5,NA,30000
"5338",79330,"ningxia",2,1,67,1,1,1,4,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA
"5340",79340,"ningxia",3,1,39,1,1,1,4,1995,0,0,60,2010,11,6,2,9,NA,60000
"5341",79340,"ningxia",3,2,36,1,1,1,4,2001,0,0,40,2011,10,6,4,9,NA,40000
"5343",79350,"ningxia",3,1,48,1,1,1,4,1985,0,0,40,1985,5,1,7,5,NA,35000
"5344",79350,"ningxia",3,2,48,1,1,1,4,1983,0,0,50,2005,8,6,1,5,NA,20000
"5346",79360,"ningxia",3,1,37,1,1,1,4,2005,0,0,50,2005,3,6,3,5,NA,19200
"5347",79360,"ningxia",3,2,31,1,1,1,4,2002,0,0,50,2002,15,6,4,5,NA,30000
"5351",79380,"ningxia",3,1,32,1,0,1,4,2003,0,1,50,2003,15,NA,NA,5,NA,NA
"5352",79380,"ningxia",3,2,30,1,0,1,4,2005,0,1,40,2005,15,NA,NA,5,NA,NA
"5354",79390,"ningxia",3,1,33,1,0,NA,4,1999,0,0,70,2001,6,6,2,4,5,20000
"5357",79400,"ningxia",4,1,62,1,0,1,4,1988,0,1,70,2001,6,NA,NA,5,9,0
"5359",79400,"ningxia",4,2,27,2,0,1,4,2009,0,0,56,2008,18,4,4,12,16,24000
"5360",79400,"ningxia",4,2,25,2,0,1,4,0,1,NA,0,NA,NA,NA,NA,12,16,0
"5361",79410,"ningxia",4,1,44,1,0,NA,NA,1988,0,1,56,2003,9,NA,NA,4,9,0
"5363",79410,"ningxia",4,2,21,2,0,NA,NA,2008,0,0,56,2008,9,NA,NA,6,12,24000
"5364",79410,"ningxia",4,1,19,2,0,NA,NA,2004,0,1,70,2004,9,NA,NA,5,6,0
"5365",79420,"ningxia",1,1,30,2,1,1,4,2006,0,0,40,2006,16,4,4,11,14,30000
"5366",79430,"ningxia",3,1,40,1,1,1,4,1990,0,0,84,2004,12,NA,NA,6,12,NA
"5367",79430,"ningxia",3,2,39,1,1,1,4,1992,0,NA,NA,NA,NA,NA,NA,6,12,NA
"5369",79440,"ningxia",2,1,59,1,1,2,NA,1975,0,1,77,2011,15,NA,NA,8,12,NA
"5371",79450,"ningxia",5,2,63,1,1,1,4,1966,1,NA,NA,1966,5,3,6,1,NA,NA
"5372",79450,"ningxia",5,1,69,1,1,1,4,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"5373",79450,"ningxia",5,1,43,1,1,1,4,1991,0,0,13,1991,5,5,6,6,12,16000
"5374",79450,"ningxia",5,2,38,1,1,1,4,1990,0,1,12,2008,12,NA,NA,5,9,NA
"5376",79460,"ningxia",1,2,30,2,0,1,2,2004,0,0,43,2004,13,5,3,12,18,45000
"5377",79470,"ningxia",2,1,28,1,0,1,1,2007,0,0,60,2007,13,4,3,11,16,70000
"5378",79470,"ningxia",2,2,28,1,1,1,4,2009,0,0,58,2009,16,4,3,13,19,40000
"5379",79480,"ningxia",2,1,34,1,0,1,4,2006,0,0,48,2006,13,7,3,5,8,50000
"5380",79480,"ningxia",2,2,28,1,0,1,2,2005,0,0,45,2005,13,5,3,8,15,45000
"5381",79490,"ningxia",2,1,28,1,0,NA,4,2008,0,0,58,2008,14,7,3,6,12,40000
"5382",79490,"ningxia",2,2,27,1,0,NA,2,2010,0,0,55,2010,13,4,3,11,16,40000
"5383",79500,"ningxia",2,1,26,1,0,1,2,2010,0,0,60,2010,13,4,3,11,16,60000
"5384",79500,"ningxia",2,2,26,1,0,1,4,2010,0,0,45,2010,18,2,2,11,16,40000
"5385",79510,"ningxia",2,2,44,3,0,1,4,1985,0,0,60,1985,13,1,3,5,NA,70000
"5387",79520,"ningxia",3,1,33,1,0,1,2,2005,0,0,60,2005,13,4,3,11,16,80000
"5390",79530,"ningxia",2,1,30,1,0,NA,4,2004,0,0,56,2004,13,4,4,11,16,85000
"5391",79530,"ningxia",2,2,28,1,0,NA,4,2006,0,0,42,2006,7,4,5,11,16,50000
"5392",79540,"ningxia",2,2,38,3,0,1,4,1998,0,0,44,1998,17,4,5,6,12,40000
"5396",79560,"ningxia",3,1,30,NA,0,1,4,NA,0,1,17,51,9,7,NA,5,NA,NA
"5397",79560,"ningxia",3,2,26,NA,0,1,4,NA,0,1,17,51,9,7,NA,5,NA,NA
"5409",79610,"ningxia",3,1,36,1,0,1,4,NA,0,1,70,2000,8,6,NA,5,NA,NA
"5415",79630,"ningxia",5,1,46,1,0,2,4,2010,0,1,119,2011,9,6,NA,5,11,NA
"5416",79630,"ningxia",5,2,43,1,0,2,4,2010,0,1,119,2011,9,6,NA,5,8,NA
"5417",79630,"ningxia",5,1,20,2,0,2,4,2010,0,0,48,2010,9,6,2,6,11,NA
"5418",79630,"ningxia",5,2,17,2,0,2,4,2011,0,0,48,2010,9,6,2,6,11,NA
"5420",79640,"ningxia",6,1,50,1,0,NA,4,2011,0,1,70,NA,9,5,NA,8,13,3000
"5421",79640,"ningxia",6,2,48,1,0,2,4,NA,0,1,70,NA,9,5,NA,5,6,2000
"5424",79640,"ningxia",6,2,22,2,0,2,2,2011,0,0,40,NA,16,6,2,7,13,1000
"5427",79650,"ningxia",4,1,34,1,1,2,4,2003,0,1,56,2003,5,7,6,6,NA,120000
"5430",79660,"ningxia",3,1,35,1,1,1,4,1999,0,1,56,1999,8,2,NA,2,NA,80000
"5431",79660,"ningxia",3,2,32,1,1,1,4,1999,0,1,56,1999,8,2,NA,2,NA,50000
"5433",79670,"ningxia",3,2,26,1,NA,NA,2,2010,0,0,54,2010,6,6,3,9,0,25000
"5434",79670,"ningxia",3,1,24,1,NA,NA,2,2006,0,0,54,2006,6,6,6,6,0,24000
"5436",79680,"ningxia",2,2,26,1,1,2,4,2010,0,0,56,2010,5,2,6,12,15,36000
"5437",79680,"ningxia",2,1,30,1,1,2,4,2008,0,0,56,2008,5,2,6,12,15,60000
"5438",79690,"ningxia",2,2,27,1,1,2,4,2008,0,0,40,2008,6,4,5,12,NA,24000
"5439",79690,"ningxia",2,1,30,1,1,2,4,2006,0,0,40,2006,6,4,5,12,NA,36000
"5440",79700,"ningxia",3,2,38,1,1,1,NA,1995,0,0,48,1995,6,4,3,12,14,54000
"5441",79700,"ningxia",3,1,42,1,1,1,NA,1990,0,0,48,1990,6,4,4,10,13,60000
"5443",79710,"ningxia",2,1,24,1,1,1,2,NA,0,0,40,2010,16,4,4,12,NA,40000
"5444",79710,"ningxia",2,2,22,1,1,1,2,NA,0,0,40,2011,16,4,4,12,NA,40000
"5445",79720,"ningxia",6,1,48,1,0,1,4,1992,0,0,40,1992,5,6,1,6,NA,96000
"5451",79730,"ningxia",2,1,28,1,0,2,4,2006,0,0,56,2006,13,3,5,11,16,60000
"5452",79730,"ningxia",2,2,27,1,0,2,4,2006,0,0,50,2006,7,4,3,11,16,50000
"5453",79740,"ningxia",1,1,24,2,0,2,4,2011,0,0,45,2011,17,3,6,9,15,30000
"5454",79750,"ningxia",3,2,42,1,0,1,4,1994,0,0,45,1994,17,1,4,5,9,50000
"5455",79750,"ningxia",3,1,44,1,0,1,4,1992,0,0,46,1992,6,1,3,6,12,48000
"5457",79760,"ningxia",3,1,30,1,0,1,4,2004,0,0,56,2004,13,4,3,11,16,50000
"5458",79760,"ningxia",3,2,28,1,0,1,4,2006,0,0,40,2006,16,4,3,11,16,40000
"5460",79770,"ningxia",2,2,45,3,0,1,1,1992,0,0,40,1992,1,1,3,5,NA,45000
"5462",79780,"ningxia",3,1,28,1,0,1,1,2007,0,0,50,2007,13,5,3,13,NA,50000
"5463",79780,"ningxia",3,2,28,1,0,1,1,2006,0,0,50,2006,13,6,3,12,NA,45000
"5465",79790,"ningxia",2,1,28,1,0,1,4,2006,0,0,50,2008,13,4,3,11,16,50000
"5466",79790,"ningxia",2,2,25,1,0,1,4,2008,0,1,90,2006,8,7,NA,8,12,0
"5467",79800,"ningxia",2,1,27,1,0,1,4,2009,0,0,60,2009,7,2,2,11,16,60000
"5468",79800,"ningxia",2,2,27,1,0,1,4,2009,0,0,45,2009,16,4,3,11,16,40000
"5469",79810,"ningxia",2,2,25,2,0,2,4,2010,0,0,50,2010,13,5,4,12,NA,40000
"5471",79820,"ningxia",3,1,35,1,0,1,4,2004,0,1,42,2004,5,6,NA,11,NA,75000
"5472",79820,"ningxia",3,2,33,1,0,1,4,2008,0,0,40,2008,13,4,3,11,NA,40000
"5474",79830,"ningxia",3,1,27,1,0,1,4,2007,0,0,50,2007,4,4,6,11,16,70000
"5475",79830,"ningxia",3,2,26,1,0,1,4,2008,0,0,45,2008,16,4,3,11,16,40000
"5477",79840,"ningxia",3,1,32,1,0,1,1,2006,0,0,78,2006,7,2,3,11,16,80000
"5480",79850,"ningxia",3,1,26,1,0,1,4,2010,0,0,60,2010,7,2,3,9,15,40000
"5481",79850,"ningxia",3,2,25,1,0,1,4,2010,1,NA,40,2010,11,3,4,9,15,35000
"5483",79860,"ningxia",2,1,25,1,0,2,4,2011,1,NA,40,2012,17,3,6,9,15,20000
"5484",79860,"ningxia",2,2,22,1,0,2,4,2011,0,0,45,2011,5,2,5,9,15,30000
"5486",79870,"ningxia",3,1,28,1,0,1,1,2006,0,0,40,2006,13,6,3,13,17,40000
"5487",79870,"ningxia",3,2,26,1,0,1,4,2007,0,0,44,2007,16,4,3,12,16,42000
"5488",79880,"ningxia",2,1,31,1,0,1,4,2008,0,0,60,2008,17,4,6,13,19,48000
"5489",79880,"ningxia",2,2,27,1,0,1,4,2011,0,0,55,2011,17,4,7,13,19,30000
"5490",79890,"ningxia",4,1,36,1,0,1,4,1997,0,0,40,1997,13,1,3,9,15,80000
"5491",79890,"ningxia",4,2,40,1,0,1,4,1995,0,0,40,1995,17,1,3,8,12,70000
"5495",79900,"ningxia",3,2,41,1,0,1,4,1998,0,0,40,1998,18,NA,2,1,0,45000
"5497",79910,"ningxia",3,1,41,1,1,1,4,1997,1,NA,40,1997,1,1,3,8,15,50000
"5498",79910,"ningxia",3,2,37,1,1,1,4,1999,0,0,40,1999,13,6,3,10,18,38000
"5500",79920,"ningxia",3,1,42,1,1,1,1,1992,0,0,48,1992,13,1,3,10,16,70000
"5501",79920,"ningxia",3,2,42,1,1,1,4,1990,0,0,50,1990,13,1,3,7,15,50000
"5503",79930,"ningxia",4,1,48,1,1,1,4,1990,0,0,50,1990,4,1,3,5,9,50000
"5504",79930,"ningxia",4,2,45,1,1,1,1,1993,0,0,40,1993,1,1,3,4,5,45000
"5505",79930,"ningxia",4,1,24,2,1,1,4,2010,0,0,55,2010,7,2,2,12,18,50000
"5520",79980,"ningxia",5,2,23,2,0,2,4,1998,0,0,48,1998,8,NA,NA,5,9,NA
"5521",79980,"ningxia",5,1,20,2,0,2,4,1999,0,0,48,1999,5,NA,NA,6,12,NA
"5522",79980,"ningxia",5,1,19,2,0,2,4,2011,0,0,105,2011,15,NA,NA,5,9,NA
